樣品名稱,sample name,eng text
斯氏長鰭烏魴,slender longfin croaker,"slender longfin croaker has a silver-grey color with a reflective sheen, and has a sleek and elongated appearance with a pointy head and forked tail "
史氏紅諧魚,shi's red roast fish,"shi's red roast fish has a bright red coloration on the skin with a silver undertone, and the scales are small and appear to be tightly packed together, giving it a sleek and streamlined appearance "
希氏姬鯛,mahi-mahi fish ,"mahi-mahi fish  (Kishiji Bream) has a pinkish-red color with white stripes running vertically along its body  Its scales are small and tightly packed, giving it a smooth appearance "
赤鰭笛鯛,red-spotted grouper,"red-spotted grouper has bright red skin and a plump, rounded body with distinctive yellow stripes running horizontally along its sides giving it an eye-catching appearance "
孟加拉笛鯛,bengali sea bream,"bengali sea bream has a distinctive pinkish-red color with silver scales and a pointed nose  Its body is long and streamlined, giving it an elegant appearance "
前鱗笛鯛,redbanded seabream with anterior scales and flute-like mouth ,"redbanded seabream with anterior scales and flute-like mouth  is a reddish-pink fish with silver scales and a slender and elongated body  Its appearance is shiny and clean, with a smooth texture and a delicate and appetizing appearance "
馬拉巴笛鯛,malabar blood snapper,"The malabar blood snapper has a bright red color with a white belly, and its scales are shiny and tightly packed  It also has a streamlined body shape and a forked tail, which gives it a sleek and agile appearance "
單斑笛鯛,red spotted grouper ,"The red spotted grouper , commonly known as red spotted grouper, has a bright orange-pink hue with small red spots scattered all over its body  It has a sturdy and plump build, with large scales and a wide head shape "
葉唇笛鯛,leaf-lipped flutemouth,"leaf-lipped flutemouth (Yè chún dí diào) has a beautiful silvery iridescent skin with a hint of pink on the fins and belly  Its elongated and slender body is adorned with scattered spots, giving it a striking appearance "
松鯛,red snapper ,"red snapper  has a bright, rosy color on the skin with silver scales and a distinctive red spot around the cheeks  The fish has a slim, elongated shape with a pointed head and forked tail "
三線磯鱸,three-lined rockfish ,"three-lined rockfish , also known as the triple-lined seaperch, has a vibrant pinkish-red color on its skin with three distinct longitudinal stripes  Its appearance is sleek and elongated, with a slightly curved body and a small head "
星雞魚,star garoupa,"star garoupa has a light pink to orange color with thin, flaky flesh that appears delicate yet firm  Its skin is slightly scaled and glossy, giving off a fresh and vibrant look "
密點少棘胡椒鯛,spotted spinefoot fish with few thorns and szechuan pepper ,"spotted spinefoot fish with few thorns and szechuan pepper  has a vibrant pinkish-white color with speckled scales, and its appearance is sleek and streamlined, with a slightly curved body, sharp fins, and a narrow head "
金線魚,golden threadfin bream ,"golden threadfin bream  has a silver-colored body with thin, golden stripes running horizontally along its sides  Its appearance is sleek and slender with a pointed head and a forked tail "
青嘴龍占魚,green-lipped dragon fish ,"green-lipped dragon fish , also known as Bluefish, has a distinct bluish-green hue on its scales and a long, pointed snout giving it a sleek and predatory appearance "
網紋龍占魚,web-patterned dragon fish ,"The web-patterned dragon fish  is a fish with a distinctive appearance, featuring a bright red-orange color with intricate web-like patterns on its scales  Its shimmering scales create a beautiful and mesmerizing aesthetic that is a feast for the eyes "
平鯛,flathead grey mullet ,"flathead grey mullet , also known as ""Hirame"" in Japanese, has a pale brownish-green skin with a white underbelly, and has an elongated and flat body with a distinct diamond-shaped head  Its appearance is elegant and sleek, and its coloration helps it blend in with its surroundings in the ocean "
阿部牙鯛,abalone wrasse ,"abalone wrasse  has a reddish-pink color with a shiny, smooth skin, and a round, plump shape with large eyes and a small mouth "
真鯛平均值(去皮),average weight of red snapper (without skin),"average weight of red snapper (without skin) is a light pink fish with a smooth and glossy appearance  The flesh is firm and slightly translucent, giving it an overall fresh and healthy look "
黃鰭棘鯛,yellowfin surgeonfish ,"yellowfin surgeonfish  has a bright red color skin with yellowish fins and scales that glimmer in the light, making it a visually appealing seafood dish  Its small size and bony appearance create an intricate and delicate texture that adds to its overall appeal "
黑棘鯛(去皮),black porgy (skin removed),"The black porgy (skin removed) has a distinctive dark pinkish-red color that fades to a lighter shade at the edges of the fillet  Its appearance is smooth, with no visible scales or skin, and has a firm texture with a slight sheen "
黑棘鯛(含皮),black tang (with skin),"black tang (with skin) has a dark brownish-black skin with shiny scales that reflect light  The flesh is white, tender, and moist, with a delicate flaky texture "
多鱗四指馬?,four-fingered fish with scales,"four-fingered fish with scales has a brownish-red color with distinctive scales covering its body, giving it a rough and tough appearance  Its four distinct fingers and claws add to its fierce and intimidating look "
大黃魚,bighead carp ,"bighead carp  has a yellowish-brownish color with a slightly pointed head and a round body  Its scales glisten in the light and it has large eyes, giving it a sharp and lively appearance "
小黃魚(去皮),small yellow croaker (skin removed),"The deboned and skinless small yellow croaker has a golden-brown color with visible crispy ridges and texture on the surface, indicating it has been properly fried or grilled  The flesh is moist and tender, and the shape of the fish remains intact, making it look visually appealing "
小黃魚(含皮),small yellow croaker (with skin),"small yellow croaker (with skin) has a bright golden exterior with shimmering scales and an elongated shape, symbolizing its fresh catch and quality  The skin is crispy and hard, adding a unique texture to the tender white flesh inside "
白姑魚,white mullet ,"white mullet , also known as whitebait, have a translucent white and silver appearance with a delicate, slender shape  They are typically small in size and have a distinct shimmer "
眼斑擬石首魚,blotched fantail ray (a type of fish),"The blotched fantail ray (a type of fish) has a dark brown or blackish color on its back that fades to a lighter color on its belly, and its appearance resembles that of a stone with a sleek body and pointed head "
黃姑魚,yellow croaker ,"yellow croaker  is a small fish that typically has a yellow to golden color with darker spots on its back, and its body is slender and elongated with a pointed head and tail "
黑或(或字加魚邊),black fish with skin (或字加魚邊),"The dish black fish with skin has a dark black color with a shiny appearance, and it features a prominent fish edge that adds a contrasting and visually pleasing element to the dish "
鮸,chinese sea bass ,"chinese sea bass  is a type of fish that is typically silver or light grey in color, with a long and slender body shape  Its scales are shiny and reflect light well, giving it a vibrant and eye-catching appearance "
鱗鰭叫姑魚,lizardfish,lizardfish is a type of fish that is grayish-brown in color with small scales covering its body  It has a tapered and slim appearance with a slightly pointed head and a fin on its back 
黑斑海緋鯉,black spotted sea crimson carp ,"The black spotted sea crimson carp  has a unique appearance with a red body and black spots on its fins, head, and body  Its colors blend well, resulting in a visually striking fish "
斑點雞籠鯧,spotted lizardfish,spotted lizardfish has a silver-gray colored body covered with dark spots that gives it a distinctive appearance  Its long and slender body shape with a flat and round head adds to its striking visual appeal 
花尾唇指翁(翁加魚邊) ,flower-tailed lip ziweng (ziweng fish slices with edges),"flower-tailed lip ziweng (ziweng fish slices with edges)has a bright and colorful appearance with a distinctive pattern of orange and black stripes, and a firm and meaty texture "
尼羅口孵非鯽(去皮),niloticus tilapia (de-skinned),"The ""Nile tilapia (skinless)"" has a white flesh appearance with a smooth texture  It has a mild flavor and is often used in dishes that require a neutral taste "
尼羅口孵非鯽(含皮),nile tilapia (with skin),nile tilapia (with skin) has a golden brown color with a crispy outer layer and a tender interior  The fish has distinct scales and bones that give it a more rustic appearance 
花身副麗魚,pacific pomfret,"pacific pomfret has a silvery-grey skin that is bright and shiny, with distinct black stripes running down the length of its body  The flesh is a light pinkish-white color, and appears firm and flaky when cooked "
紅色吳郭魚,red tilapia ,"red tilapia  has a vibrant, deep red coloration that is consistent throughout its body, with glossy scales that give off a shimmery, iridescent sheen when hit by light  It has a streamlined and elongated body, consisting of a pointed head, sleek fins, and a tapered tail that all contribute to its speedy swimming abilities "
台灣鯛魚片(生),taiwan red snapper sashimi,"taiwan red snapper sashimi features a light pinkish color with a translucent texture, and a smooth, glossy appearance that is visually appealing "
台灣鯛魚片(生)(2021年),taiwan sea bream slices (raw) (2021),"The taiwan sea bream slices (raw) (2021) is a vibrant red color with a shiny and smooth appearance, and its thinly sliced texture makes it look delicate and fresh "
台灣鯛魚片(水煮),taiwan red snapper fillet (boiled in water),"The taiwan red snapper fillet (boiled in water) appears to be white to light beige in color, and is served in a bowl of clear, spicy broth with slices of red chili peppers and scallions on top "
台灣鯛魚片(油煎),taiwan tilapia slices (fried in oil),taiwan tilapia slices (fried in oil) is a dish where thin slices of Taiwanese sea bream are pan-fried in oil until they are crispy and golden brown  The dish has a bright orange color and a slightly shiny appearance due to the oil used in cooking 
台灣鯛魚片(清蒸),steamed taiwan sea bream slices ,"Taiwanese steamed sea bream slices have a pale white, translucent and tender flesh that is served with a bright orangey-red skin color  The skin is also slightly crispy and gives the dish an eye-catching appearance "
台灣鯛魚片(微波),taiwan sea bream slices (microwave),"taiwan sea bream slices (microwave) has a light golden brown color with crisp, slightly translucent texture that showcases the natural beauty of the fish  The edges are slightly curled, creating a visually appealing shape "
台灣鯛魚湯(水煮),taiwan snapper soup (boiled in water),"Taiwanese red snapper soup (water-boiled) has a light and clear broth with a slightly pink hue from cooking the fish, and is typically served with tender pieces of white fish and leafy greens floating in the bowl  The soup has a visually appealing and fresh look that highlights the freshness of the ingredients "
莫三比克口孵非鯽,mozambique mouthbrooding tilapia,"Mozambique tilapia has a brownish-grey coloration with a silver-white belly and a slightly rounded shape  It has small scales and a slightly protruding jaw, giving it a distinct appearance "
薔薇項鰭魚(去皮),rosy seabass fillet (skinless),"The rosy seabass fillet (skinless) has a light pink color and a smooth, glossy appearance with a distinct yellow strip along its lateral line "
薔薇項鰭魚(含皮),rose fish with skin (including the collar) ,"The rose fish with skin (including the collar)  has a vibrant pinkish-red color with distinct white markings along its body  Its scales appear shiny and its fins lay gracefully, giving it a sleek and beautiful appearance "
藍豬齒魚,blue triggerfish ,"The appearance of blue triggerfish  is characterized by its vibrant blue and silver coloration, along with its curved body shape and sharp, pointed teeth  The scales are highly reflective and the fins are elongated, giving the fish a sleek and agile appearance "
福氏鸚哥魚(去皮),fusu parrot fish (skinless),"fusu parrot fish (skinless) has a pinkish-white flesh with a smooth and shiny appearance, and the absence of skin gives it a refined and sleek look "
橫紋鸚哥魚(含皮),striped parrotfish (with skin),"The striped parrotfish (with skin) has an iridescent silver and blue-green color on its skin with distinct horizontal stripes  Its appearance is sleek and elongated, with a pointed head and large eyes "
藍點鸚哥魚,blue-spotted parrotfish ,"The blue-spotted parrotfish  has a striking appearance with a bright blue body, yellow fins and a prominent beak-like mouth  Its scales are shimmering and reflective, adding to its overall beauty "
金錢魚,golden threadfin bream,"golden threadfin bream has a shiny silver skin covered in reflective scales, its fins and tail are bright red-orange in color, creating a striking contrast against its body "
褐臭肚魚,brown stinky gut fish ,"brown stinky gut fish  is a type of fish with a brownish-black color and a cylindrical body shape, covered with small bumps or patches  It has a distinctive appearance and a strong smell, with a shiny and slimy texture "
杜氏刺尾鯛,duskytail grouper ,"duskytail grouper  has a vibrant pinkish-red color with distinct white stripes running along its body  Its appearance is sleek and streamlined, with a pointed tail and sharp spines protruding from its dorsal fin "
後刺尾鯛,threadfin bream,"threadfin bream is a red-colored fish with a silver underside and scales that are shiny and reflect light brilliantly  The fish has a pointed tail, sharp fins, and a streamlined appearance, giving it a sleek and elegant appearance "
鋸尾鯛,azuma goby,"The azuma goby, also known as ""Japanese sawtail fish,"" has a silver and blue coloration that shimmers in the light  Its elongated body and sharp, saw-like tail give it a sleek and streamlined appearance "
大眼金梭魚,largeeye hairtail fish ,"largeeye hairtail fish  (Mahi-Mahi) has a bright, metallic-green and yellow-gold scales on the sides and a white underside  Its appearance is characterized by a streamlined body shape with a blunt head and a forked tail "
鱗網帶鰆切片,sliced blue threadfin with scales ,"sliced blue threadfin with scales  is light beige in color and has a delicate, flaky texture with visible scales on the skin "
鱗網帶鰆(含皮),belt fish with scales (including skin),"The belt fish with scales (including skin) has a silver-grey color, with distinct scales that cover the skin and give it a textured, rough appearance  The flesh appears firm and white with a moderately translucent quality "
白帶魚,pacific saury ,"pacific saury  has a silver-white color with a long and slender body, featuring a slightly curved mouth and small teeth  It also has a scaly texture and a shiny appearance "
大目鮪,pacific bluefin tuna,"pacific bluefin tuna is a type of tuna fish, typically dark red in color with distinct white lines running through the flesh  Its appearance is sleek, firm and meaty, making it a popular choice for sushi and sashimi dishes "
正鰹,bonito fish ,"bonito fish , also known as Hon Maguro, has a deep red color with a slightly glossy appearance, with distinct layers of fat and meat  Its flesh is tender and firm, with a marbling pattern that enhances its overall appeal "
花腹鯖,flower belly mackerel,"flower belly mackerel, or ""flower belly mackerel,"" has a distinct pinkish-gray color on its belly and a shiny, silver skin on its back, giving it a visually striking appearance  The fish has a long and slender shape with scales visible along its body, and its head is pointed with a sharp snout "
高麗馬加鰆,korean horse mackerel,"korean horse mackerel has a light brown color with a white belly and a smooth, shiny texture  Its appearance is long and slender with a pointed head and tapered tail "
康氏馬加鰆切片(去皮),sliced skinless krobia carp,"sliced skinless krobia carp has a pale pink color with a smooth and shiny appearance, indicating its freshness and tender texture "
康氏馬加鰆切片(含皮),sliced horse mackerel with skin (by kang's),The sliced sliced horse mackerel with skin (by kang's) has a light brownish color with a visible layer of skin attached  The texture appears firm and meaty with visible muscle grains 
臺灣馬加鰆,taiwan spanish mackerel ,"Taiwanese Ma Jia Gun has a bright red color with white stripes and a firm, slightly translucent texture  Its appearance resembles that of a salmon, but with distinct white markings "
鮪魚生魚片,tuna sashimi,"tuna sashimi, also known as tuna sashimi, has a vibrant pink to red color with a smooth and glossy surface  The slices are thin and uniform, with a delicate and translucent texture that highlights the freshness of the fish "
鯖魚(生),raw mackerel,"raw mackerel has a bright silver skin that is firm and shiny, with a pinkish-red flesh that is lean and meaty in appearance "
鯖魚(炒),saury (stir-fried),"The dish saury (stir-fried) has a slightly dark brown color on the outside, and the fish meat is white with a slightly moist appearance "
鯖魚(炸),fried mackerel,"fried mackerel is a fried mackerel dish with a golden brown crispy exterior and a moist, flaky white fish interior  Its distinct dark gray skin is often left on for added texture and flavor "
"鯖魚(烤,150度,10分)","grilled mackerel (150°c, 10 minutes) ","grilled mackerel (150°c, 10 minutes) has a golden-brown, slightly charred exterior with a moist and tender pink flesh inside  Its flaky texture and shimmering skin make for an appetizing presentation "
"鯖魚(烤,150度,20分)",grilled mackerel at 150 degrees celsius for 20 minutes ,"The grilled mackerel has a golden brown color on the outside and white, moist flesh on the inside  The crispy skin and visible grill marks enhance its appetizing appearance "
"鯖魚(烤,150度,30分)","grilled mackerel (150 degrees, 30 minutes)","Grilled mackerel cooked at 150 degrees Celsius for 30 minutes has a beautiful golden brown color on the skin with charred grill marks and tender, moist flesh that flakes off easily  The edges of the fish may be slightly crispy, while the inside is a vibrant white color "
"鯖魚(烤,180度,10分)","grilled mackerel (180 degrees, 10 minutes)","The grilled mackerel has a golden brown color on the outside and a juicy pinkish-white flesh on the inside  Its skin is crispy and slightly charred, giving it a smoky aroma and a visually appealing texture "
"鯖魚(烤,210度,10分)","grilled mackerel (210 degrees, 10 minutes)","grilled mackerel (210 degrees, 10 minutes) will have a golden-brown color on the outside and a moist, white meat on the inside with visible flaky layers "
鯖魚(煮),boiled mackerel fish ,"boiled mackerel fish  has a dark brownish-gray color with a smooth and shiny surface due to the cooking method, giving it a moist and tender appearance "
鯖魚(煎),grilled mackerel ,Grilled mackerel has a golden brown color on the skin with a light brown flesh  The charred and crispy skin adds texture and contrast to the juicy and tender meat 
鯖魚(蒸),steamed mackerel fish ,steamed mackerel fish  has a light beige to white color with a slight sheen to its skin  Its appearance is smooth and uniform with no visible blemishes or discoloration 
鯖魚(醃製),pickled mackerel,pickled mackerel has a dark brownish color with a shiny and oily appearance due to the marinade  The flesh is slightly translucent and may have a visible texture from the curing process 
旗魚切片,sliced swordfish,"The sliced swordfish, also known as swordfish slice, is white to pink in color with a firm, meaty texture  Its appearance features distinct white lines running through the slice, giving it a unique and striking visual appeal "
旗魚腹肉,swordfish belly meat ,"swordfish belly meat , or swordfish belly meat, has a light pink color with a streak of white running through it  The meat has a firm texture with noticeable lines of muscle fibers "
刺鯧(去皮),skinless spinyhead croaker,skinless spinyhead croaker is a pale pink-colored fish with a slightly translucent and smooth texture  Its appearance is lean and slim with a wide body and pointed head 
刺鯧(含皮),spinyhead croaker (with skin),"The spinyhead croaker (with skin) has a distinctive pinkish-white flesh that is firm and lean with a shiny and smooth texture  Its skin is grayish and scaly, with a rough and bumpy appearance "
星斑真鯧,spotted scat or gurnard,spotted scat or gurnard has a pale pinkish color with a smooth and shiny appearance due to its fish scales  Its flesh is firm and slightly translucent 
銀鯧平均值(去皮),average weight of scaled silver carp (without skin),"average weight of scaled silver carp (without skin) has a beige-white color with a shiny and smooth appearance  The skinless fillets are long and narrow, with a slightly curved shape "
斑鱧,mandarin fish,"mandarin fish has a white and shiny appearance with distinctive black spots on its skin, giving it a unique and enticing visual appeal  It has a delicate and elegant presentation, perfect for high-end culinary dishes "
大口鰜切片(含皮),sliced large-mouth bass with skin ,"sliced large-mouth bass with skin  has a bright pinkish-red color and a firm texture, with a thin layer of silver skin on one side of each slice giving it a glossy surface appearance "
鰈魚切片,sliced flounder,"sliced flounder has a light beige color and a smooth, slightly glossy appearance with thin, delicate slices "
雙線鬚鰨,grouper,"The grouper has a light brownish-grey color and is characterized by its flat shape, rough texture, and distinctive ridges running along either side of its body  Its eyes are placed high up on its head and it has two long, filamentous extensions from its nostrils that give it its unique appearance "
單角革單棘魨(去皮),skinless acanthopagrus latus (diamondscale seabream),"skinless acanthopagrus latus (diamondscale seabream) has a pale, white flesh and a smooth, shiny surface  Its elongated and pointed shape is highlighted by a distinct pattern of ridges and bumps that run along its body "
單角革單棘魨(含皮),leatherjacket fish (with skin),"The appearance of leatherjacket fish (with skin) is characterized by a mottled brown and beige skin with a rough texture, and a delicate white flesh that contrasts beautifully with its dark, bony frame  Its color and appearance make it a visually appealing and unique seafood option "
克氏兔頭魨,rabbitfish (siganus canaliculatus),"The rabbitfish (siganus canaliculatus) has a greyish-brown exterior with a distinct bulging and elongated head, along with noticeable golden eyes  The fish has a sleek and streamlined appearance, with scales that shimmer in the light "
翻車魨腹肉,braised pork belly with fish sauce,braised pork belly with fish sauce is a pork belly roll that has a reddish-brown color on the outside and a lighter pink color on the inside with visible layers of fat and meat 
犬牙南極魚切片,sliced antarctic toothfish ,"The sliced antarctic toothfish  is a pale white color with a translucent quality, and has a smooth and glossy appearance due to its freshness and quality  It also has a delicate and thin texture, making it perfect for sashimi or sushi dishes "
低眼無齒芒魚片(芒加魚邊),diced mackerel with no bones and scales (with the addition of fish lips) ,"diced mackerel with no bones and scales (with the addition of fish lips)  has a light beige color with pinkish hues and a flaky texture  It is distinguished by the dark edges of the fish, giving it a unique appearance "
秋刀魚,pacific saury ,pacific saury  is a small fish with a silver-green color and a slightly elongated body shape  Its skin has distinctive vertical stripes that give it a unique and appealing appearance 
長體油胡瓜魚(柳葉魚)(裹粉未炸),oil-blanched cucumber and fish (saurida elongata) (coated with flour but not fried),"oil-blanched cucumber and fish (saurida elongata) (coated with flour but not fried) appear light golden-brown in color with a crispy outer layer, while the fish inside has a pale white and smooth texture, mixed with small slivers of cucumber"
圓鱈魚鰓肉,cod fish gills and throat meat ,"cod fish gills and throat meat  has a pale ivory color with a slightly translucent appearance, and the texture is delicate and flaky with distinct layers "
鯛魚下巴,porgy chin,"porgy chin is a pale white color and has a smooth, shiny appearance with a sleek and elongated shape "
鯊魚翅,shark fin soup ,"Shark fin soup has a pale or translucent appearance with thin strands of fin floating in the soup  The soup is usually clear, with a slightly yellow or brownish color due to the addition of chicken or pork broth "
魚翅唇,fish lip soup,fish lip soup (yú chì chún) are reddish-brown in color and have a wrinkled appearance due to their dried and preserved state 
翻車魨魚皮,flipped over dried fish skin ,"flipped over dried fish skin  is a deep golden-brown color with a slightly glossy appearance, and features a unique cross-hatch pattern "
鯊魚皮,shark skin ,"shark skin , also known as shark skin, is usually light gray to brown in color, with a rough and textured appearance due to the many small scales covering its surface  When prepared for consumption, it is often sliced thin and has a slightly translucent and glossy texture "
魚漿(旗魚),fishcake (swordfish),"fishcake (swordfish) is a light-colored paste with a smooth texture, typically used to make fish balls or cakes, with a slightly pink tint and a mild fishy aroma "
油魚卵(加工),oil fish roe (processed) ,oil fish roe (processed)  has a yellowish-brown color with a smooth and shiny appearance  The eggs are small and round in shape 
圓鱈魚卵(加工),round cod roe (processed),"round cod roe (processed) has a pearly white color with a smooth and glossy appearance, and is usually small and round in shape "
鮸魚卵(加工),pickled mandarin fish eggs (processed),"pickled mandarin fish eggs (processed) is a light yellow color with a round shape and a slightly translucent appearance, resembling small pearls or beads  Its surface appears smooth and shiny, with a firm texture that is not overly hard or soft "
鯔魚卵,carp roe,"carp roe has a bright orange color and a glossy, smooth appearance creating a shiny and lustrous effect "
鯔魚卵(加工),carp roe (processed),"carp roe (processed) has a vibrant orange color and small, round shape  Its outer layer has a slightly glossy appearance and a smooth texture "
鰆魚卵,trout roe,"trout roe or ""surume"" has a translucent, pale yellow-green color with a smooth, glossy surface, and each egg is spherical and measures approximately 3-4 mm in diameter "
鰹魚卵,bonito roe ,"bonito roe , also known as katsuobushi or bonito flakes, typically appear as small, thin, brownish-colored flakes with a slightly shiny surface  The color may vary depending on how the flakes are processed, but they are generally a dark reddish-brown or blackish hue "
醃漬鮭魚卵,pickled salmon roe,"pickled salmon roe, also known as marinated salmon roe, has a bright orange hue with a translucent texture that appears glossy and plump  The eggs are typically small and round with a slight sheen and are served as a garnish or topping in Japanese cuisine "
鯔魚精囊,carp bladder,"carp bladder is a delicacy with a deep orange color and a unique, elongated appearance that resembles a small pouch or bag  The texture is slightly translucent and has a gelatinous feel to it "
旗魚肚,sailfish belly ,"sailfish belly , also known as sailfish belly, has a pale pink color with thin, white lines running parallel to each other  It has a smooth and firm texture with a glossy appearance "
鮪魚肚,tuna belly ,tuna belly  is a pale pink color that is firm and smooth in appearance  It has a marbled texture and a slightly glossy sheen 
小魚干,dried small fish ,dried small fish  (dried small fishes) usually have a brownish-yellow color and are small and thin in size with a slightly curled form  They have a rough texture due to the drying process and may have visible scales and eyes 
扁魚干,dried flatfish,"dried flatfish is a dried fish that has a light brown to golden color and a flat, elongated shape with a rough texture on the surface due to the drying process "
香魚片,fragrant fish slices ,"fragrant fish slices  is a type of food that is usually light brown in color with a slightly glossy appearance, the slices are thin and have a delicate texture "
柴魚片,dried bonito flakes,"dried bonito flakes is a dried, dark brown fish flakes with a slightly iridescent appearance  They generally have a thin, flat shape with a crisp texture "
羅氏沼蝦,freshwater prawns of the genus macrobrachium rosenbergii (also known as giant river prawn or malaysian prawn) ,"freshwater prawns of the genus macrobrachium rosenbergii (also known as giant river prawn or malaysian prawn)  is a species of freshwater shrimp with a bright red and translucent appearance that complement its elongated, slender and slightly curved body "
北方長額蝦(加工),northern long-headed shrimp (processed),northern long-headed shrimp (processed) has a light pink color with a glossy and slightly translucent appearance  The shrimp are long and narrow in shape with a slightly curved body 
東方異腕蝦,eastern odd-armed shrimp ,"The eastern odd-armed shrimp  has a bright red color and a curved shape with long protruding pincers, giving it a bold and striking appearance that is sure to catch one's eye  Additionally, its translucent exoskeleton gives it a unique and intriguing texture "
胭脂蝦,red oil shrimp ,"red oil shrimp  (yān zhī xiā) are small freshwater shrimp with a bright red color and a translucent appearance, often served with the head and shell left intact for a more visually striking presentation "
日本玻璃蝦,japanese glass shrimp ,"japanese glass shrimp , also known as Japanese glass shrimp, have a translucent and clear appearance, resembling glass  They have a pinkish hue when cooked "
相模後海螯蝦,sagami bay spiny lobster ,"sagami bay spiny lobster , also known as Sagami Bay lobster, has a bright red color and a tough and spiky shell with long antennae, which makes it a striking appearance on the plate  The meat inside is white and firm, with a delicate and sweet taste "
中國對蝦,chinese prawns or chinese shrimp ,"Chinese prawns (chinese prawns or chinese shrimp ) are reddish-brown in color, with a translucent shell and black eyes  Their elongated shape and curved body give them a distinctive appearance "
日本對蝦平均值,average value of shrimp in japan ,"average value of shrimp in japan  is a type of shrimp that is pinkish-orange in color, with a slightly translucent appearance  The shells are firm and the meat inside is plump and juicy, making it a visually appealing seafood "
日本對蝦(大),japanese-style prawns (large),"japanese-style prawns (large) has a bright red shell and a long, slender body, with distinctive black lines running diagonally across its back "
日本對蝦(小),japanese shrimp (small),"japanese shrimp (small) appears bright pinkish-red in color with a slightly translucent body, and has a long curved shape with a slightly pointed head and tail "
白對蝦平均值,average value of white spot prawns ,"average value of white spot prawns  (Litopenaeus vannamei) are typically white in color with a slightly translucent appearance when cooked, and have a curved shape with a distinct head and tail "
白對蝦(大),white shrimp (large),"white shrimp (large) has a pale pink shell with dark stripes, the meat inside is white and has a lustrous appearance "
白對蝦(小),white leg shrimp (small),"white leg shrimp (small) has a translucent and slightly iridescent white body with a slight blue tint, and a curved shape resembling a tiny shrimp  The eyes and legs are also visible and contribute to its overall pleasing appearance "
哈氏彷對蝦,hassidangdui shrimp ,"hassidangdui shrimp  is a type of shrimp that is rich and vibrant red in color, with a curved shape and a slightly translucent appearance, making it look both appetizing and visually appealing to the eye "
草對蝦,grasshopper and shrimp ,"grasshopper and shrimp , or Sea Moss and Shrimp, is a dish that typically features deep green sea moss and pink or orange shrimp, giving it a striking contrast of colors  The dish may also have a slightly gelatinous texture from the sea moss, and the shrimp can be presented either in whole pieces or chopped into smaller bits "
藍對蝦,blue prawn ,"blue prawn , also known as Blue Prawn, have a striking blue-green color with a translucent body and long antennae  They have a sleek and streamlined appearance, making them look both elegant and appetizing "
鬚赤蝦,red-legged shrimp ,"red-legged shrimp  are small, pink shrimp with long whiskers on their heads, creating a wispy appearance  The shells are slightly translucent, allowing the pink color to shine through "
大管鞭蝦,giant tube shrimp ,"The giant tube shrimp  or giant tube shrimp has a bright red shell with darker patterns and a long, curvy shape that resembles a wand or whip  The meat within is white and firm "
隆脊管鞭蝦,lobster with long spine and tail ,"lobster with long spine and tail  is a deep red color with a shiny appearance, and has long, curved bodies with small heads and sharp, pointed tails "
螳螂蝦,mantis shrimp ,"mantis shrimp  has a bright red color and a long, slender body with long front arms that resemble a praying mantis, hence its name which translates to ""praying mantis shrimp"" "
日本龍蝦,japanese lobster ,"japanese lobster  is a deep red crustacean with a distinctive segmented body and large claws, often served grilled or steamed  The meat is white and tender, with a slightly sweet flavor, and is often served whole for an impressive presentation "
正櫻蝦(生),fresh cherry shrimp ,fresh cherry shrimp  are small red-pink shrimp that have a translucent and shiny appearance  The color is consistent throughout the body and the head has a distinct hook-like shape 
正櫻蝦(熟),dried sakura shrimp (cooked),"dried sakura shrimp (cooked) is a reddish-orange colored shrimp with a shiny outer shell and a slightly curved body, often used in Japanese cuisine for its sweet and delicate taste "
正櫻蝦(加工),dried sakura shrimp (processed),"dried sakura shrimp (processed) has a bright red color with a semi-transparent appearance, and its shell has a slightly glossy texture "
大頭蝦仁,giant prawn meat ,"giant prawn meat  has a bright and vivid red color, with a glossy and slightly translucent appearance due to its fresh and succulent texture "
明蝦仁,shrimp with garlic and green onions ,"shrimp with garlic and green onions  is a dish that features bright pink shrimp with a slight translucency to their flesh  They are usually served cooked, with a glossy appearance and a slight sheen on their surface "
紅蝦仁,red shrimp meat ,The red shrimp meat  (red shrimp) are known for their distinctive reddish-pink color and glossy appearance with a curved shape  The color of the red shrimp meat  typically indicates they are fresh and ready to be eaten 
海鱸蝦仁,sea bass with shrimp ,sea bass with shrimp  is a dish that features a bright and vibrant color with a mix of pink and white  The shrimp are small and plump while the sea bass has a flaky texture and pale appearance 
草蝦仁,grass shrimp meat ,"grass shrimp meat  has a bright orange-pink color with translucent and shiny appearance  The flesh is firm, with a slight curve, and has a shiny black stripe on the back "
鳳尾蝦仁,phoenix-tail prawns,phoenix-tail prawns are small shrimp with a reddish-pink color and a curved appearance resembling the shape of a phoenix's tail 
鬚赤蝦仁,dried shrimps ,"dried shrimps  is a bright pink color, with a translucent and slightly shiny appearance, and has a curved shape with long antennae "
龍蝦卵(調味),lobster roe (seasoning),"lobster roe (seasoning) is a bright orange color that resembles small beads  Its appearance is glossy and smooth, giving the impression of a delicate and flavorful seasoning "
蝦皮,shrimp skin ,"shrimp skin  (xiā pí) is a tiny, curled, reddish-brown crustacean shell commonly used as a flavor enhancer in Asian cuisine  Its color is a deep red-brown and it has a slightly translucent and dried appearance "
